_id,site_id,tree_subj,main_subj_ids,hadith_ids,url
2db4d5cacf23a1b365f9ecaafe6bf57f,1807,صلاة التطوع في السفر,[],"['bukhari-00391', 'bukhari-01595', 'bukhari-01045', 'bukhari-01051', 'bukhari-00955', 'bukhari-03909', 'bukhari-01589', 'bukhari-01043', 'bukhari-00139', 'bukhari-01588', 'bukhari-01049', 'bukhari-01159', 'bukhari-01058', 'bukhari-01048', 'bukhari-01053', 'bukhari-01041', 'bukhari-01050', 'bukhari-01047']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=1807
39e33b0324046db12e943544479bb48a,3628,ألا يصلي المغرب حتى يصل مزدلفة,[],"['bukhari-00139', 'bukhari-01590', 'bukhari-01584', 'bukhari-01588', 'bukhari-01599', 'bukhari-01591', 'bukhari-01586', 'bukhari-01598']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3628
6777ec332b25a1bfabbf3c2a4ed964fc,23855,الجمع بين الصلاتين بمزدلفة,[],"['bukhari-01589', 'bukhari-01590', 'bukhari-00139', 'bukhari-01591', 'bukhari-01588', 'bukhari-01599', 'bukhari-04152', 'bukhari-01598']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=23855
7cf934fdf115a569a6246ea4a3f28f39,3630,المبيت بمزدلفة حتى مطلع الفجر,[],"['bukhari-01592', 'bukhari-01597', 'bukhari-00139', 'bukhari-01596', 'bukhari-01588', 'bukhari-01594', 'bukhari-01593', 'bukhari-01757', 'bukhari-01599', 'bukhari-01591', 'bukhari-01595', 'bukhari-01600']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3630
194264c667a25a74ea5e17cad40a18fb,3514,الإفاضة من عرفات مع غروب الشمس مع الإمام إلى مزدلفة,[],"['bukhari-00139', 'bukhari-01584', 'bukhari-01588']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3514
d604fea52f5fc6fddbd3bd86627809e7,67,المضمضة والاستنشاق في الوضوء,[],"['bukhari-00189', 'bukhari-00196', 'bukhari-00184', 'bukhari-01832', 'bukhari-00159', 'bukhari-00140', 'bukhari-00183', 'bukhari-00158', 'bukhari-02761', 'bukhari-00160', 'bukhari-00162', 'bukhari-05462']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=67
40830005cb6a1f49196cca4372542c7d,9,كيفية الوضوء,[],"['bukhari-02013', 'bukhari-00947', 'bukhari-00189', 'bukhari-00620', 'bukhari-06290', 'bukhari-01140', 'bukhari-00196', 'bukhari-06069', 'bukhari-00181', 'bukhari-00158', 'bukhari-01832', 'bukhari-04295', 'bukhari-00465', 'bukhari-00188', 'bukhari-02761', 'bukhari-00162', 'bukhari-04296', 'bukhari-00140', 'bukhari-05462']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=9
67805e50cd82ede8363ecbb88e9b0ffe,34,غسل الوجه في الوضوء,[],"['bukhari-00189', 'bukhari-00180', 'bukhari-00196', 'bukhari-00184', 'bukhari-05463', 'bukhari-00140', 'bukhari-00194', 'bukhari-00183', 'bukhari-00158', 'bukhari-02761', 'bukhari-01832', 'bukhari-00162', 'bukhari-05462']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=34
064d09fdf558fa21aaa0b2d572f42fd8,44,غسل اليدين إلى المرفقين,[],"['bukhari-00189', 'bukhari-00180', 'bukhari-00196', 'bukhari-00184', 'bukhari-05463', 'bukhari-00140', 'bukhari-00188', 'bukhari-00183', 'bukhari-00194', 'bukhari-00158', 'bukhari-02761', 'bukhari-01832', 'bukhari-00162', 'bukhari-05462']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=44
700da5c6ad85266122fef030f1244a55,53,مسح الرأس والأذنين في الوضوء,[],"['bukhari-00189', 'bukhari-00184', 'bukhari-05463', 'bukhari-00140', 'bukhari-00183', 'bukhari-00158', 'bukhari-02761', 'bukhari-01832', 'bukhari-00162', 'bukhari-05462']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=53
0e0f4dec76471fbd3f2dec1cc7c64939,32542,المضمضة في الوضوء,[],"['bukhari-00189', 'bukhari-00196', 'bukhari-00184', 'bukhari-00140', 'bukhari-00188', 'bukhari-00183', 'bukhari-00158', 'bukhari-02761', 'bukhari-01832', 'bukhari-00162', 'bukhari-05462']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32542
7bf6b37f042e588f5d6cd0afdef297f2,28796,صفات الجن وأحوالهم,[],"['bukhari-06637', 'bukhari-06961', 'bukhari-03118', 'bukhari-03097', 'bukhari-06638', 'bukhari-02934', 'bukhari-04870', 'bukhari-06584', 'bukhari-04637', 'bukhari-04424', 'bukhari-05430', 'bukhari-03114', 'bukhari-01093', 'bukhari-05433', 'bukhari-06603', 'bukhari-03096', 'bukhari-01930', 'bukhari-03098', 'bukhari-05865', 'bukhari-06028', 'bukhari-00814', 'bukhari-06495', 'bukhari-01091', 'bukhari-00739', 'bukhari-05300', 'bukhari-06585', 'bukhari-03102', 'bukhari-01934', 'bukhari-05429', 'bukhari-06750', 'bukhari-07122', 'bukhari-03116', 'bukhari-06291', 'bukhari-03138', 'bukhari-04522', 'bukhari-03128', 'bukhari-03109', 'bukhari-04581', 'bukhari-06661', 'bukhari-01933', 'bukhari-03104', 'bukhari-06489', 'bukhari-01021', 'bukhari-03115', 'bukhari-05859', 'bukhari-03112', 'bukhari-06594', 'bukhari-06583', 'bukhari-00141', 'bukhari-05415', 'bukhari-06948', 'bukhari-03095', 'bukhari-06596', 'bukhari-03101', 'bukhari-06025', 'bukhari-03106', 'bukhari-03038']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=28796
a254ecbec1dd765834c76936d98afa16,33092,البسملة عند الوقاع,[],"['bukhari-06961', 'bukhari-00141', 'bukhari-03098', 'bukhari-04870', 'bukhari-06025']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=33092
eee7ff2ea91b093a779e7fcb95e38c88,19770,افتتاح الدعاء بذكر الله تعالى والصلاة على النبي,[],"['bukhari-03539', 'bukhari-07050', 'bukhari-02013', 'bukhari-01640', 'bukhari-03279', 'bukhari-05629', 'bukhari-06030', 'bukhari-03584', 'bukhari-06775', 'bukhari-06029', 'bukhari-02774', 'bukhari-06961', 'bukhari-03057', 'bukhari-01641', 'bukhari-02801', 'bukhari-02208', 'bukhari-01311', 'bukhari-04870', 'bukhari-07051', 'bukhari-00244', 'bukhari-00620', 'bukhari-01790', 'bukhari-05956', 'bukhari-06034', 'bukhari-06336', 'bukhari-05739', 'bukhari-02775', 'bukhari-03278', 'bukhari-03889', 'bukhari-00442', 'bukhari-03098', 'bukhari-00237', 'bukhari-03014', 'bukhari-03585', 'bukhari-05800', 'bukhari-05952', 'bukhari-03873', 'bukhari-04594', 'bukhari-02776', 'bukhari-02679', 'bukhari-00465', 'bukhari-02680', 'bukhari-03874', 'bukhari-06050', 'bukhari-02152', 'bukhari-06051', 'bukhari-02102', 'bukhari-06900', 'bukhari-03206', 'bukhari-02350', 'bukhari-02651', 'bukhari-03040', 'bukhari-05954', 'bukhari-01791', 'bukhari-00141', 'bukhari-02267', 'bukhari-02779', 'bukhari-04131', 'bukhari-02728', 'bukhari-03290', 'bukhari-06025', 'bukhari-02104', 'bukhari-00498']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=19770
2ce6cf93757f117cb601c4c53b39a0ab,24721,الذكر عند الجماع,[],"['bukhari-03109', 'bukhari-06961', 'bukhari-00141', 'bukhari-03098', 'bukhari-04870', 'bukhari-06025']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=24721
dda3c9f89dc20c720c41a76252d14f15,375,ذكر الله عند دخول الخلاء والخروج منه,[],"['bukhari-00142', 'bukhari-05963']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=375
c710ac15b32670b10951670a217a8d99,24776,إعداد ما يتطهر به قبل قضاء الحاجة,[],"['bukhari-00478', 'bukhari-00151', 'bukhari-00200', 'bukhari-00356', 'bukhari-00149', 'bukhari-03647', 'bukhari-00143', 'bukhari-00150']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=24776
ac14d13a8ab1ab1b1ae364f107477152,382,استقبال القبلة واستدبارها عند قضاء الحاجة,[],"['bukhari-00145', 'bukhari-00386', 'bukhari-00144', 'bukhari-00147', 'bukhari-02935']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=382
64641ebe40b6a3418256ca43c95c2005,24342,استقبال بيت المقدس عند قضاء الحاجة,[],"['bukhari-00145', 'bukhari-02935', 'bukhari-00147', 'bukhari-00148']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=24342
c7975a89370b32a944de52ff19e5ae08,32537,التبرز على لبنتين,[],"['bukhari-00145', 'bukhari-00148']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32537
5b770f46333773339f18d056e32e3276,30745,نزول آية الحجاب,[],"['bukhari-05149', 'bukhari-00146', 'bukhari-04516', 'bukhari-05885', 'bukhari-04512', 'bukhari-05916', 'bukhari-05886', 'bukhari-06985', 'bukhari-04515']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=30745
5652358992c0598a7cdd02e1b450069c,32294,نزول سورة الأحزاب,[],"['bukhari-05149', 'bukhari-04871', 'bukhari-04504', 'bukhari-06985', 'bukhari-02336', 'bukhari-05884', 'bukhari-04515', 'bukhari-04823', 'bukhari-00146', 'bukhari-04895', 'bukhari-05885', 'bukhari-00394', 'bukhari-05886', 'bukhari-04514', 'bukhari-04512', 'bukhari-04213', 'bukhari-04509', 'bukhari-06984', 'bukhari-04513', 'bukhari-04516', 'bukhari-04508', 'bukhari-05916']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32294
ee51e4935544d06f15bce4327cdeae1e,33345,حجاب المرأة,[],"['bukhari-00365', 'bukhari-03480', 'bukhari-05149', 'bukhari-05735', 'bukhari-04473', 'bukhari-00937', 'bukhari-04864', 'bukhari-00146', 'bukhari-01569', 'bukhari-04797', 'bukhari-05885', 'bukhari-00394', 'bukhari-05886', 'bukhari-00829', 'bukhari-00344', 'bukhari-01442', 'bukhari-01756', 'bukhari-04512', 'bukhari-00553', 'bukhari-02723', 'bukhari-04213', 'bukhari-00318', 'bukhari-01741', 'bukhari-03976', 'bukhari-03975', 'bukhari-05916', 'bukhari-00834', 'bukhari-04073', 'bukhari-03120', 'bukhari-05874']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=33345
41d01225c8fe9c192705d68992131bdd,31216,موافقات عمر للقرآن الكريم,[],"['bukhari-00146', 'bukhari-04632', 'bukhari-01300', 'bukhari-04512', 'bukhari-05460', 'bukhari-00394', 'bukhari-04213', 'bukhari-05886', 'bukhari-04394', 'bukhari-01210']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=31216
731df2f9a5cf2388e522d0ed9fbd26b5,32038,خروج النساء لقضاء الحاجة,[],"['bukhari-03910', 'bukhari-00146', 'bukhari-04473', 'bukhari-05886', 'bukhari-02518', 'bukhari-04939']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32038
25d86607fa6d01d22815ccf599e5b1aa,11373,عدم خروج الزوجة من البيت إلا بإذنه ( ملازمة المسكن ),[],"['bukhari-00858', 'bukhari-00827', 'bukhari-00146', 'bukhari-00857', 'bukhari-00835', 'bukhari-05886', 'bukhari-04939', 'bukhari-04940']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=11373
d281e0a6dbf0a8e7b775548c97efd61c,32040,قضاء الحاجة في البيوت,[],"['bukhari-02935', 'bukhari-00147', 'bukhari-00148']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32040
ea64ce38fc1293922ad761cae878d42a,407,الاستنجاء بالماء,[],"['bukhari-00200', 'bukhari-00149', 'bukhari-00151', 'bukhari-00214', 'bukhari-00150', 'bukhari-00478']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=407
30ba3dab6cb997851aeb12b7c5eb4c0c,32536,حمل العنزة في الاستنجاء,[],"['bukhari-00478', 'bukhari-00151']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32536
eaad01a80c95bda84b441861978925fb,18369,النفخ في إناء الشرب والتنفس فيه,[],"['bukhari-05308', 'bukhari-05307', 'bukhari-00152', 'bukhari-00153']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=18369
